N° artículo en tienda,EAN / GTIN / código barras,Número del fabricante (HAN/MPN),Fabricante / Marca,Nombre del producto,Precio,Precio especial,Precio original,Plazo de entrega,Categoría del producto en la tienda,Descripción del producto,Características del producto / Otros atributos,URL del producto,URLimagen_1,URLimagen_2,URLimagen_3,Color,Talla,Transferencia,Transferencia / Paypal Austria,Tarjeta de crédito,Paypal,Sofortüberweisung,Domiciliación,Reembolso,Comentario sobre los gastos de envío,Precio base,Cupón de descuento,Clase de eficiencia energética,Unidades
DV60BA11.T 1194,DV60BA13,DV60BA11.T 1194,Mobapec DV,Silla de escuela con estructura de madera,116.54,,116.54,1 - 14 días,Cadeira,"<h1>Cadeira escolar em madeira</h1>
  <p>Esta cadeira escolar é um recurso indispensável para as creches, infantários, escolas ou para uso particular. <meta charset=""utf-8"">Cria um ambiente colorido e confortável nas salas. </p>
  <p>O seu encosto com curvatura ergonómica proporciona um conforto adicional à postura da criança. <span>Estas cadeiras de sala são empilháveis, o que as torna ideais para economizar espaço em qualquer tipo de ambiente.</span></p>
  <p>Podem ser combinadas com <a href=""https://abcescolar.pt/collections/mesas-pre-escolar"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/mesas-pre-escolar"">mesas</a> em madeira ou em metal ou com qualquer outro mobiliário escolar. </p>
  <h2><span>Características</span></h2>
  <ul>
  <li>Terminais em poliamida.</li>
  <li>Com as dimensões de 52 x 22 mm. com cantos e arestas boleados e acabamento em verniz poliuretano incolor meio brilho, não tóxico.</li>
  <li>Assento e encosto em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico.</li>
  </ul>
  <p>Pode comprar cadeiras mais leves, empilháveis e fáceis de lavar como estas <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex</a>.</p>","Biblioteca, Cadeiras, Cadeiras Pré Escolar, Escolar, Mobiliário, Mobiliário Pré, Pré-escolar, Próximo ano letivo",https://abcescolar.pt/es/products/cadeira-com-estrutura-em-madeira,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-madeira.jpg?v=1656427004,,,,N/A,,,,,,,,8.9 €,116.54,,,1
DV60BA11.T 111,DV60BA13,DV60BA11.T 111,Mobapec DV,Silla de escuela con estructura de madera,116.54,,116.54,1 - 14 días,Cadeira,"<h1>Cadeira escolar em madeira</h1>
  <p>Esta cadeira escolar é um recurso indispensável para as creches, infantários, escolas ou para uso particular. <meta charset=""utf-8"">Cria um ambiente colorido e confortável nas salas. </p>
  <p>O seu encosto com curvatura ergonómica proporciona um conforto adicional à postura da criança. <span>Estas cadeiras de sala são empilháveis, o que as torna ideais para economizar espaço em qualquer tipo de ambiente.</span></p>
  <p>Podem ser combinadas com <a href=""https://abcescolar.pt/collections/mesas-pre-escolar"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/mesas-pre-escolar"">mesas</a> em madeira ou em metal ou com qualquer outro mobiliário escolar. </p>
  <h2><span>Características</span></h2>
  <ul>
  <li>Terminais em poliamida.</li>
  <li>Com as dimensões de 52 x 22 mm. com cantos e arestas boleados e acabamento em verniz poliuretano incolor meio brilho, não tóxico.</li>
  <li>Assento e encosto em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico.</li>
  </ul>
  <p>Pode comprar cadeiras mais leves, empilháveis e fáceis de lavar como estas <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex</a>.</p>","Biblioteca, Cadeiras, Cadeiras Pré Escolar, Escolar, Mobiliário, Mobiliário Pré, Pré-escolar, Próximo ano letivo",https://abcescolar.pt/es/products/cadeira-com-estrutura-em-madeira,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-madeira.jpg?v=1656427004,,,,N/A,,,,,,,,8.9 €,116.54,,,1
DV60BA11.T 5223,DV60BA13,DV60BA11.T 5223,Mobapec DV,Silla de escuela con estructura de madera,116.54,,116.54,1 - 14 días,Cadeira,"<h1>Cadeira escolar em madeira</h1>
  <p>Esta cadeira escolar é um recurso indispensável para as creches, infantários, escolas ou para uso particular. <meta charset=""utf-8"">Cria um ambiente colorido e confortável nas salas. </p>
  <p>O seu encosto com curvatura ergonómica proporciona um conforto adicional à postura da criança. <span>Estas cadeiras de sala são empilháveis, o que as torna ideais para economizar espaço em qualquer tipo de ambiente.</span></p>
  <p>Podem ser combinadas com <a href=""https://abcescolar.pt/collections/mesas-pre-escolar"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/mesas-pre-escolar"">mesas</a> em madeira ou em metal ou com qualquer outro mobiliário escolar. </p>
  <h2><span>Características</span></h2>
  <ul>
  <li>Terminais em poliamida.</li>
  <li>Com as dimensões de 52 x 22 mm. com cantos e arestas boleados e acabamento em verniz poliuretano incolor meio brilho, não tóxico.</li>
  <li>Assento e encosto em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico.</li>
  </ul>
  <p>Pode comprar cadeiras mais leves, empilháveis e fáceis de lavar como estas <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex</a>.</p>","Biblioteca, Cadeiras, Cadeiras Pré Escolar, Escolar, Mobiliário, Mobiliário Pré, Pré-escolar, Próximo ano letivo",https://abcescolar.pt/es/products/cadeira-com-estrutura-em-madeira,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-madeira.jpg?v=1656427004,,,,N/A,,,,,,,,8.9 €,116.54,,,1
DV60BA12.T 101,DV60BA12,DV60BA12.T 101,Mobapec DV,Silla de escuela con estructura de madera,116.54,,116.54,1 - 14 días,Cadeira,"<h1>Cadeira escolar em madeira</h1>
  <p>Esta cadeira escolar é um recurso indispensável para as creches, infantários, escolas ou para uso particular. <meta charset=""utf-8"">Cria um ambiente colorido e confortável nas salas. </p>
  <p>O seu encosto com curvatura ergonómica proporciona um conforto adicional à postura da criança. <span>Estas cadeiras de sala são empilháveis, o que as torna ideais para economizar espaço em qualquer tipo de ambiente.</span></p>
  <p>Podem ser combinadas com <a href=""https://abcescolar.pt/collections/mesas-pre-escolar"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/mesas-pre-escolar"">mesas</a> em madeira ou em metal ou com qualquer outro mobiliário escolar. </p>
  <h2><span>Características</span></h2>
  <ul>
  <li>Terminais em poliamida.</li>
  <li>Com as dimensões de 52 x 22 mm. com cantos e arestas boleados e acabamento em verniz poliuretano incolor meio brilho, não tóxico.</li>
  <li>Assento e encosto em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico.</li>
  </ul>
  <p>Pode comprar cadeiras mais leves, empilháveis e fáceis de lavar como estas <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex</a>.</p>","Biblioteca, Cadeiras, Cadeiras Pré Escolar, Escolar, Mobiliário, Mobiliário Pré, Pré-escolar, Próximo ano letivo",https://abcescolar.pt/es/products/cadeira-com-estrutura-em-madeira,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-madeira.jpg?v=1656427004,,,,N/A,,,,,,,,8.9 €,116.54,,,1
DV60BA13.T 101,,DV60BA13.T 101,Mobapec DV,Silla de escuela con estructura de madera,116.54,,116.54,1 - 14 días,Cadeira,"<h1>Cadeira escolar em madeira</h1>
  <p>Esta cadeira escolar é um recurso indispensável para as creches, infantários, escolas ou para uso particular. <meta charset=""utf-8"">Cria um ambiente colorido e confortável nas salas. </p>
  <p>O seu encosto com curvatura ergonómica proporciona um conforto adicional à postura da criança. <span>Estas cadeiras de sala são empilháveis, o que as torna ideais para economizar espaço em qualquer tipo de ambiente.</span></p>
  <p>Podem ser combinadas com <a href=""https://abcescolar.pt/collections/mesas-pre-escolar"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/mesas-pre-escolar"">mesas</a> em madeira ou em metal ou com qualquer outro mobiliário escolar. </p>
  <h2><span>Características</span></h2>
  <ul>
  <li>Terminais em poliamida.</li>
  <li>Com as dimensões de 52 x 22 mm. com cantos e arestas boleados e acabamento em verniz poliuretano incolor meio brilho, não tóxico.</li>
  <li>Assento e encosto em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico.</li>
  </ul>
  <p>Pode comprar cadeiras mais leves, empilháveis e fáceis de lavar como estas <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex</a>.</p>","Biblioteca, Cadeiras, Cadeiras Pré Escolar, Escolar, Mobiliário, Mobiliário Pré, Pré-escolar, Próximo ano letivo",https://abcescolar.pt/es/products/cadeira-com-estrutura-em-madeira,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-madeira.jpg?v=1656427004,,,,N/A,,,,,,,,8.9 €,116.54,,,1
DV60BA13.T 1194,,DV60BA13.T 1194,Mobapec DV,Silla de escuela con estructura de madera,116.54,,116.54,1 - 14 días,Cadeira,"<h1>Cadeira escolar em madeira</h1>
  <p>Esta cadeira escolar é um recurso indispensável para as creches, infantários, escolas ou para uso particular. <meta charset=""utf-8"">Cria um ambiente colorido e confortável nas salas. </p>
  <p>O seu encosto com curvatura ergonómica proporciona um conforto adicional à postura da criança. <span>Estas cadeiras de sala são empilháveis, o que as torna ideais para economizar espaço em qualquer tipo de ambiente.</span></p>
  <p>Podem ser combinadas com <a href=""https://abcescolar.pt/collections/mesas-pre-escolar"" target=""_blank"" data-mce-href=""https://abcescolar.pt/collections/mesas-pre-escolar"">mesas</a> em madeira ou em metal ou com qualquer outro mobiliário escolar. </p>
  <h2><span>Características</span></h2>
  <ul>
  <li>Terminais em poliamida.</li>
  <li>Com as dimensões de 52 x 22 mm. com cantos e arestas boleados e acabamento em verniz poliuretano incolor meio brilho, não tóxico.</li>
  <li>Assento e encosto em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico.</li>
  </ul>
  <p>Pode comprar cadeiras mais leves, empilháveis e fáceis de lavar como estas <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex</a>.</p>","Biblioteca, Cadeiras, Cadeiras Pré Escolar, Escolar, Mobiliário, Mobiliário Pré, Pré-escolar, Próximo ano letivo",https://abcescolar.pt/es/products/cadeira-com-estrutura-em-madeira,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-madeira.jpg?v=1656427004,,,,N/A,,,,,,,,8.9 €,116.54,,,8
DV60AA12.T 1194,DV60AA12,DV60AA12.T 1194,Mobapec DV,Silla de escuela con estructura de metal,47.85,,47.85,1 - 14 días,Cadeira,"<h1>Cadeira escolar com estrutura metálica</h1>
  <p>Cadeira escolar com estrutura metálica, ideal para utilização em sala de aula, creches, refeitórios ou em quartos de crianças. Poderá escolher esta cadeira em várias cores e vários tamanhos. </p>
  <p>Esta confortável cadeira tem uma estrutura segura e de fácil limpeza.</p>
  <p>O assento e encosto é fabricado em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico. O seu encosto tem uma curvatura ergonómica, potenciando uma correta postura às crianças que a utilizam.</p>
  <p>Pode optar por cadeiras mais leves, para um contexto mais infantil, como as <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex.</a></p>
  <h2>Características</h2>
  <ul>
  <li>Empilháveis para economizar espaço.</li>
  <li>Estrutura metálica em tubo de aço redondo ø 22 mm, acabado a pintura electrostática a pó epoxy.</li>
  <li>Terminais em poliamida.</li>
  <li>Disponível em vários tamanhos</li>
  <li>Disponível em várias cores</li>
  </ul>","Biblioteca, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Refeitório",https://abcescolar.pt/es/products/cadeira-com-estrutura-metalica,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-com-estrutura-metalica-19-abc-escolar.jpg?v=1671788513,,,,N/A,,,,,,,,8.9 €,47.85,,,1
DV60AA12.T 517,DV60AA12,DV60AA12.T 517,Mobapec DV,Silla de escuela con estructura de metal,47.85,,47.85,1 - 14 días,Cadeira,"<h1>Cadeira escolar com estrutura metálica</h1>
  <p>Cadeira escolar com estrutura metálica, ideal para utilização em sala de aula, creches, refeitórios ou em quartos de crianças. Poderá escolher esta cadeira em várias cores e vários tamanhos. </p>
  <p>Esta confortável cadeira tem uma estrutura segura e de fácil limpeza.</p>
  <p>O assento e encosto é fabricado em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico. O seu encosto tem uma curvatura ergonómica, potenciando uma correta postura às crianças que a utilizam.</p>
  <p>Pode optar por cadeiras mais leves, para um contexto mais infantil, como as <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex.</a></p>
  <h2>Características</h2>
  <ul>
  <li>Empilháveis para economizar espaço.</li>
  <li>Estrutura metálica em tubo de aço redondo ø 22 mm, acabado a pintura electrostática a pó epoxy.</li>
  <li>Terminais em poliamida.</li>
  <li>Disponível em vários tamanhos</li>
  <li>Disponível em várias cores</li>
  </ul>","Biblioteca, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Refeitório",https://abcescolar.pt/es/products/cadeira-com-estrutura-metalica,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-com-estrutura-metalica-19-abc-escolar.jpg?v=1671788513,,,,N/A,,,,,,,,8.9 €,47.85,,,18
DV60AA14.T 111,DV60AA14,DV60AA14.T 111,Mobapec DV,Silla de escuela con estructura de metal,47.85,,47.85,1 - 14 días,Cadeira,"<h1>Cadeira escolar com estrutura metálica</h1>
  <p>Cadeira escolar com estrutura metálica, ideal para utilização em sala de aula, creches, refeitórios ou em quartos de crianças. Poderá escolher esta cadeira em várias cores e vários tamanhos. </p>
  <p>Esta confortável cadeira tem uma estrutura segura e de fácil limpeza.</p>
  <p>O assento e encosto é fabricado em contraplacado de madeira (10 mm), revestido a termolaminado em ambas as faces, com arestas e cantos boleados e acabamento em verniz poliuretano incolor de meio brilho, não tóxico. O seu encosto tem uma curvatura ergonómica, potenciando uma correta postura às crianças que a utilizam.</p>
  <p>Pode optar por cadeiras mais leves, para um contexto mais infantil, como as <a href=""https://abcescolar.pt/products/cadeira-flex"" target=""_blank"">cadeiras flex.</a></p>
  <h2>Características</h2>
  <ul>
  <li>Empilháveis para economizar espaço.</li>
  <li>Estrutura metálica em tubo de aço redondo ø 22 mm, acabado a pintura electrostática a pó epoxy.</li>
  <li>Terminais em poliamida.</li>
  <li>Disponível em vários tamanhos</li>
  <li>Disponível em várias cores</li>
  </ul>","Biblioteca, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Refeitório",https://abcescolar.pt/es/products/cadeira-com-estrutura-metalica,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-com-estrutura-metalica-19-abc-escolar.jpg?v=1671788513,,,,N/A,,,,,,,,8.9 €,47.85,,,1
FLEX25.LARANJA,YCX-003,FLEX25.LARANJA,"Yucai Holding Group Co., Ltd.",Silla flexible,24.65,,24.65,1 - 14 días,"cadeira, cadeira escolar","<h3>Cadeira flex ideal para qualquer ambiente</h3>
<p>A Cadeira Flex, fabricada em polipropileno, é uma cadeira confortável e empilhável, permitindo-lhe economizar espaço na sua sala.</p>
<h3>Uma cadeira versátil</h3>
<p>Ajuda a melhorar a postura da criança e manter a coluna vertebral na posição correta. Trata-se de uma cadeira fácil de mover e recolher, facilitando todas as atividades que deseje realizar com as suas crianças em diferentes salas.</p>
<p>Disponível <strong>em vários tamanhos (25 cm / 30 cm / 35 cm / 40 cm / 45 cm) em em diferentes cores (azul, verde, amarela, vermelha, verde alface, laranja e cinza)</strong>, tornando-a na cadeira escolar ideal para qualquer sala, independentemente da idade das crianças.</p>
<p>O seu fantástico apoio lombar ajuda a manter uma postura correta e confortável em qualquer contexto, com principal foco nas salas de aula. Além disso, podem ser usadas como cadeiras de escritório ou para uso particular.</p>
<p><span style=""text-decoration: underline;""><strong>Idades recomendadas:</strong></span></p>
<ul>
<li>3 a 4 anos - 25 cm</li>
<li>4 a 6 anos - 30 cm</li>
<li>7 a 10 anos - 35 cm</li>
<li>10 a 12 anos - 40 cm</li>
<li>Adulto - 45 cm</li>
</ul>
<p>Permite uma combinação perfeita com as <a title=""Mesa Flex Retangular"" href=""https://abcescolar.pt/products/mesa-flex-retangular"" target=""_blank"">Mesas Flex Retangular</a>, <a title=""Mesa Flex Circular"" href=""https://abcescolar.pt/products/mesa-flex-circular"" target=""_blank"">Mesas Flex Circular</a> e <a title=""Mesas Flex de Grupo"" href=""https://abcescolar.pt/products/mesa-flex-de-grupo"" target=""_blank"">Mesas Flex de Grupo</a>.</p>","__label:Top Vendas!, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Recomendado, Refeitório",https://abcescolar.pt/es/products/cadeira-flex,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-flex-amarelo.jpg?v=1666198184,,,,N/A,,,,,,,,4.5 €,24.65,,,55
FLEX25.VERDE,YCX-003,FLEX25.VERDE,"Yucai Holding Group Co., Ltd.",Silla flexible,24.65,,24.65,1 - 14 días,"cadeira, cadeira escolar","<h3>Cadeira flex ideal para qualquer ambiente</h3>
<p>A Cadeira Flex, fabricada em polipropileno, é uma cadeira confortável e empilhável, permitindo-lhe economizar espaço na sua sala.</p>
<h3>Uma cadeira versátil</h3>
<p>Ajuda a melhorar a postura da criança e manter a coluna vertebral na posição correta. Trata-se de uma cadeira fácil de mover e recolher, facilitando todas as atividades que deseje realizar com as suas crianças em diferentes salas.</p>
<p>Disponível <strong>em vários tamanhos (25 cm / 30 cm / 35 cm / 40 cm / 45 cm) em em diferentes cores (azul, verde, amarela, vermelha, verde alface, laranja e cinza)</strong>, tornando-a na cadeira escolar ideal para qualquer sala, independentemente da idade das crianças.</p>
<p>O seu fantástico apoio lombar ajuda a manter uma postura correta e confortável em qualquer contexto, com principal foco nas salas de aula. Além disso, podem ser usadas como cadeiras de escritório ou para uso particular.</p>
<p><span style=""text-decoration: underline;""><strong>Idades recomendadas:</strong></span></p>
<ul>
<li>3 a 4 anos - 25 cm</li>
<li>4 a 6 anos - 30 cm</li>
<li>7 a 10 anos - 35 cm</li>
<li>10 a 12 anos - 40 cm</li>
<li>Adulto - 45 cm</li>
</ul>
<p>Permite uma combinação perfeita com as <a title=""Mesa Flex Retangular"" href=""https://abcescolar.pt/products/mesa-flex-retangular"" target=""_blank"">Mesas Flex Retangular</a>, <a title=""Mesa Flex Circular"" href=""https://abcescolar.pt/products/mesa-flex-circular"" target=""_blank"">Mesas Flex Circular</a> e <a title=""Mesas Flex de Grupo"" href=""https://abcescolar.pt/products/mesa-flex-de-grupo"" target=""_blank"">Mesas Flex de Grupo</a>.</p>","__label:Top Vendas!, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Recomendado, Refeitório",https://abcescolar.pt/es/products/cadeira-flex,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-flex-amarelo.jpg?v=1666198184,,,,N/A,,,,,,,,4.5 €,24.65,,,12
FLEX25.VERDE.CL,YCX-003,FLEX25.VERDE.CL,"Yucai Holding Group Co., Ltd.",Silla flexible,24.65,,24.65,1 - 14 días,"cadeira, cadeira escolar","<h3>Cadeira flex ideal para qualquer ambiente</h3>
<p>A Cadeira Flex, fabricada em polipropileno, é uma cadeira confortável e empilhável, permitindo-lhe economizar espaço na sua sala.</p>
<h3>Uma cadeira versátil</h3>
<p>Ajuda a melhorar a postura da criança e manter a coluna vertebral na posição correta. Trata-se de uma cadeira fácil de mover e recolher, facilitando todas as atividades que deseje realizar com as suas crianças em diferentes salas.</p>
<p>Disponível <strong>em vários tamanhos (25 cm / 30 cm / 35 cm / 40 cm / 45 cm) em em diferentes cores (azul, verde, amarela, vermelha, verde alface, laranja e cinza)</strong>, tornando-a na cadeira escolar ideal para qualquer sala, independentemente da idade das crianças.</p>
<p>O seu fantástico apoio lombar ajuda a manter uma postura correta e confortável em qualquer contexto, com principal foco nas salas de aula. Além disso, podem ser usadas como cadeiras de escritório ou para uso particular.</p>
<p><span style=""text-decoration: underline;""><strong>Idades recomendadas:</strong></span></p>
<ul>
<li>3 a 4 anos - 25 cm</li>
<li>4 a 6 anos - 30 cm</li>
<li>7 a 10 anos - 35 cm</li>
<li>10 a 12 anos - 40 cm</li>
<li>Adulto - 45 cm</li>
</ul>
<p>Permite uma combinação perfeita com as <a title=""Mesa Flex Retangular"" href=""https://abcescolar.pt/products/mesa-flex-retangular"" target=""_blank"">Mesas Flex Retangular</a>, <a title=""Mesa Flex Circular"" href=""https://abcescolar.pt/products/mesa-flex-circular"" target=""_blank"">Mesas Flex Circular</a> e <a title=""Mesas Flex de Grupo"" href=""https://abcescolar.pt/products/mesa-flex-de-grupo"" target=""_blank"">Mesas Flex de Grupo</a>.</p>","__label:Top Vendas!, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Recomendado, Refeitório",https://abcescolar.pt/es/products/cadeira-flex,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-flex-amarelo.jpg?v=1666198184,,,,N/A,,,,,,,,4.5 €,24.65,,,13
FLEX30.LARANJA,YCX-001,FLEX30.LARANJA,"Yucai Holding Group Co., Ltd.",Silla flexible,28.78,,28.78,1 - 14 días,"cadeira, cadeira escolar","<h3>Cadeira flex ideal para qualquer ambiente</h3>
<p>A Cadeira Flex, fabricada em polipropileno, é uma cadeira confortável e empilhável, permitindo-lhe economizar espaço na sua sala.</p>
<h3>Uma cadeira versátil</h3>
<p>Ajuda a melhorar a postura da criança e manter a coluna vertebral na posição correta. Trata-se de uma cadeira fácil de mover e recolher, facilitando todas as atividades que deseje realizar com as suas crianças em diferentes salas.</p>
<p>Disponível <strong>em vários tamanhos (25 cm / 30 cm / 35 cm / 40 cm / 45 cm) em em diferentes cores (azul, verde, amarela, vermelha, verde alface, laranja e cinza)</strong>, tornando-a na cadeira escolar ideal para qualquer sala, independentemente da idade das crianças.</p>
<p>O seu fantástico apoio lombar ajuda a manter uma postura correta e confortável em qualquer contexto, com principal foco nas salas de aula. Além disso, podem ser usadas como cadeiras de escritório ou para uso particular.</p>
<p><span style=""text-decoration: underline;""><strong>Idades recomendadas:</strong></span></p>
<ul>
<li>3 a 4 anos - 25 cm</li>
<li>4 a 6 anos - 30 cm</li>
<li>7 a 10 anos - 35 cm</li>
<li>10 a 12 anos - 40 cm</li>
<li>Adulto - 45 cm</li>
</ul>
<p>Permite uma combinação perfeita com as <a title=""Mesa Flex Retangular"" href=""https://abcescolar.pt/products/mesa-flex-retangular"" target=""_blank"">Mesas Flex Retangular</a>, <a title=""Mesa Flex Circular"" href=""https://abcescolar.pt/products/mesa-flex-circular"" target=""_blank"">Mesas Flex Circular</a> e <a title=""Mesas Flex de Grupo"" href=""https://abcescolar.pt/products/mesa-flex-de-grupo"" target=""_blank"">Mesas Flex de Grupo</a>.</p>","__label:Top Vendas!, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Recomendado, Refeitório",https://abcescolar.pt/es/products/cadeira-flex,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-flex-amarelo.jpg?v=1666198184,,,,N/A,,,,,,,,4.5 €,28.78,,,9
FLEX30.VERDE.CL,YCX-001,FLEX30.VERDE.CL,"Yucai Holding Group Co., Ltd.",Silla flexible,28.78,,28.78,1 - 14 días,"cadeira, cadeira escolar","<h3>Cadeira flex ideal para qualquer ambiente</h3>
<p>A Cadeira Flex, fabricada em polipropileno, é uma cadeira confortável e empilhável, permitindo-lhe economizar espaço na sua sala.</p>
<h3>Uma cadeira versátil</h3>
<p>Ajuda a melhorar a postura da criança e manter a coluna vertebral na posição correta. Trata-se de uma cadeira fácil de mover e recolher, facilitando todas as atividades que deseje realizar com as suas crianças em diferentes salas.</p>
<p>Disponível <strong>em vários tamanhos (25 cm / 30 cm / 35 cm / 40 cm / 45 cm) em em diferentes cores (azul, verde, amarela, vermelha, verde alface, laranja e cinza)</strong>, tornando-a na cadeira escolar ideal para qualquer sala, independentemente da idade das crianças.</p>
<p>O seu fantástico apoio lombar ajuda a manter uma postura correta e confortável em qualquer contexto, com principal foco nas salas de aula. Além disso, podem ser usadas como cadeiras de escritório ou para uso particular.</p>
<p><span style=""text-decoration: underline;""><strong>Idades recomendadas:</strong></span></p>
<ul>
<li>3 a 4 anos - 25 cm</li>
<li>4 a 6 anos - 30 cm</li>
<li>7 a 10 anos - 35 cm</li>
<li>10 a 12 anos - 40 cm</li>
<li>Adulto - 45 cm</li>
</ul>
<p>Permite uma combinação perfeita com as <a title=""Mesa Flex Retangular"" href=""https://abcescolar.pt/products/mesa-flex-retangular"" target=""_blank"">Mesas Flex Retangular</a>, <a title=""Mesa Flex Circular"" href=""https://abcescolar.pt/products/mesa-flex-circular"" target=""_blank"">Mesas Flex Circular</a> e <a title=""Mesas Flex de Grupo"" href=""https://abcescolar.pt/products/mesa-flex-de-grupo"" target=""_blank"">Mesas Flex de Grupo</a>.</p>","__label:Top Vendas!, Cadeiras, Escolar, Mobiliário, Mobiliário Pré, Pré-Escolar, Próximo ano letivo, Recomendado, Refeitório",https://abcescolar.pt/es/products/cadeira-flex,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/cadeira-flex-amarelo.jpg?v=1666198184,,,,N/A,,,,,,,,4.5 €,28.78,,,13
